"region";"kön";"ålder";"2018";"2022"
"0114 Upplands Väsby";"totalt";"20+ år";299.6;323.6
"0115 Vallentuna";"totalt";"20+ år";332.4;382.7
"0117 Österåker";"totalt";"20+ år";358.5;407.1
"0120 Värmdö";"totalt";"20+ år";340.4;429.6
"0123 Järfälla";"totalt";"20+ år";288.3;328.0
"0125 Ekerö";"totalt";"20+ år";398.0;448.8
"0126 Huddinge";"totalt";"20+ år";294.8;340.9
"0127 Botkyrka";"totalt";"20+ år";245.8;285.6
"0128 Salem";"totalt";"20+ år";309.1;346.7
"0136 Haninge";"totalt";"20+ år";274.8;318.7
"0138 Tyresö";"totalt";"20+ år";324.4;392.6
"0139 Upplands-Bro";"totalt";"20+ år";283.7;329.9
"0140 Nykvarn";"totalt";"20+ år";320.4;365.5
"0160 Täby";"totalt";"20+ år";402.0;482.8
"0162 Danderyd";"totalt";"20+ år";714.5;1053.5
"0163 Sollentuna";"totalt";"20+ år";356.2;424.5
"0180 Stockholm";"totalt";"20+ år";358.1;430.2
"0181 Södertälje";"totalt";"20+ år";252.3;288.8
"0182 Nacka";"totalt";"20+ år";399.7;488.7
"0183 Sundbyberg";"totalt";"20+ år";301.6;354.7
"0184 Solna";"totalt";"20+ år";318.5;377.7
"0186 Lidingö";"totalt";"20+ år";512.9;654.8
"0187 Vaxholm";"totalt";"20+ år";380.8;486.9
"0188 Norrtälje";"totalt";"20+ år";273.8;321.7
"0191 Sigtuna";"totalt";"20+ år";277.1;312.8
"0192 Nynäshamn";"totalt";"20+ år";272.8;316.7
"0305 Håbo";"totalt";"20+ år";300.4;346.8
"0319 Älvkarleby";"totalt";"20+ år";240.7;283.0
"0330 Knivsta";"totalt";"20+ år";328.1;376.1
"0331 Heby";"totalt";"20+ år";244.5;281.7
"0360 Tierp";"totalt";"20+ år";243.8;282.6
"0380 Uppsala";"totalt";"20+ år";282.4;321.4
"0381 Enköping";"totalt";"20+ år";276.1;318.0
"0382 Östhammar";"totalt";"20+ år";262.7;303.0
"0428 Vingåker";"totalt";"20+ år";239.3;278.6
"0461 Gnesta";"totalt";"20+ år";270.2;312.1
"0480 Nyköping";"totalt";"20+ år";271.9;315.3
"0481 Oxelösund";"totalt";"20+ år";245.5;290.5
"0482 Flen";"totalt";"20+ år";234.5;275.3
"0483 Katrineholm";"totalt";"20+ år";247.8;287.6
"0484 Eskilstuna";"totalt";"20+ år";253.1;286.6
"0486 Strängnäs";"totalt";"20+ år";294.5;354.6
"0488 Trosa";"totalt";"20+ år";323.9;356.0
"0509 Ödeshög";"totalt";"20+ år";242.4;284.2
"0512 Ydre";"totalt";"20+ år";246.0;311.0
"0513 Kinda";"totalt";"20+ år";254.9;301.0
"0560 Boxholm";"totalt";"20+ år";254.4;292.6
"0561 Åtvidaberg";"totalt";"20+ år";245.0;291.9
"0562 Finspång";"totalt";"20+ år";247.7;282.8
"0563 Valdemarsvik";"totalt";"20+ år";227.4;275.2
"0580 Linköping";"totalt";"20+ år";278.8;321.9
"0581 Norrköping";"totalt";"20+ år";277.9;301.0
"0582 Söderköping";"totalt";"20+ år";291.8;330.6
"0583 Motala";"totalt";"20+ år";252.6;293.3
"0584 Vadstena";"totalt";"20+ år";266.5;308.4
"0586 Mjölby";"totalt";"20+ år";258.6;299.9
"0604 Aneby";"totalt";"20+ år";254.3;292.0
"0617 Gnosjö";"totalt";"20+ år";274.1;327.3
"0642 Mullsjö";"totalt";"20+ år";253.8;287.1
"0643 Habo";"totalt";"20+ år";295.4;331.9
"0662 Gislaved";"totalt";"20+ år";263.8;312.1
"0665 Vaggeryd";"totalt";"20+ år";266.9;318.7
"0680 Jönköping";"totalt";"20+ år";278.4;320.5
"0682 Nässjö";"totalt";"20+ år";251.4;288.0
"0683 Värnamo";"totalt";"20+ år";273.8;321.3
"0684 Sävsjö";"totalt";"20+ år";244.8;286.8
"0685 Vetlanda";"totalt";"20+ år";258.3;300.6
"0686 Eksjö";"totalt";"20+ år";256.8;299.9
"0687 Tranås";"totalt";"20+ år";246.0;293.6
"0760 Uppvidinge";"totalt";"20+ år";245.2;282.9
"0761 Lessebo";"totalt";"20+ år";232.1;287.9
"0763 Tingsryd";"totalt";"20+ år";241.6;281.4
"0764 Alvesta";"totalt";"20+ år";253.8;291.0
"0765 Älmhult";"totalt";"20+ år";275.2;310.9
"0767 Markaryd";"totalt";"20+ år";242.1;303.3
"0780 Växjö";"totalt";"20+ år";322.0;327.8
"0781 Ljungby";"totalt";"20+ år";250.5;299.1
"0821 Högsby";"totalt";"20+ år";223.7;256.4
"0834 Torsås";"totalt";"20+ år";242.2;280.4
"0840 Mörbylånga";"totalt";"20+ år";271.3;317.1
"0860 Hultsfred";"totalt";"20+ år";227.4;265.2
"0861 Mönsterås";"totalt";"20+ år";248.9;285.3
"0862 Emmaboda";"totalt";"20+ år";236.6;275.3
"0880 Kalmar";"totalt";"20+ år";268.8;313.0
"0881 Nybro";"totalt";"20+ år";233.2;270.8
"0882 Oskarshamn";"totalt";"20+ år";263.3;292.2
"0883 Västervik";"totalt";"20+ år";246.8;283.4
"0884 Vimmerby";"totalt";"20+ år";246.8;292.7
"0885 Borgholm";"totalt";"20+ år";248.5;290.5
